date,change_pct_pts,cash_rate,
6-May-26,0.25,4.35,
18-Mar-26,0.25,4.1,
4-Feb-26,0.25,3.85,
10-Dec-25,0,3.6,
5-Nov-25,0,3.6,
1-Oct-25,0,3.6,
13-Aug-25,-0.25,3.6,
9-Jul-25,0,3.85,
21-May-25,-0.25,3.85,
2-Apr-25,0,4.1,
19-Feb-25,-0.25,4.1,
11-Dec-24,0,4.35,
6-Nov-24,0,4.35,
25-Sep-24,0,4.35,
7-Aug-24,0,4.35,
19-Jun-24,0,4.35,
8-May-24,0,4.35,
20-Mar-24,0,4.35,
7-Feb-24,0,4.35,
6-Dec-23,0,4.35,
8-Nov-23,0.25,4.35,
4-Oct-23,0,4.1,
6-Sep-23,0,4.1,
2-Aug-23,0,4.1,
5-Jul-23,0,4.1,
7-Jun-23,0.25,4.1,
3-May-23,0.25,3.85,
5-Apr-23,0,3.6,
8-Mar-23,0.25,3.6,
8-Feb-23,0.25,3.35,
7-Dec-22,0.25,3.1,
2-Nov-22,0.25,2.85,
5-Oct-22,0.25,2.6,
7-Sep-22,0.5,2.35,
3-Aug-22,0.5,1.85,
6-Jul-22,0.5,1.35,
8-Jun-22,0.5,0.85,
4-May-22,0.25,0.35,
6-Apr-22,0,0.1,
2-Mar-22,0,0.1,
2-Feb-22,0,0.1,
8-Dec-21,0,0.1,
3-Nov-21,0,0.1,
6-Oct-21,0,0.1,
8-Sep-21,0,0.1,
4-Aug-21,0,0.1,
7-Jul-21,0,0.1,
2-Jun-21,0,0.1,
5-May-21,0,0.1,
7-Apr-21,0,0.1,
3-Mar-21,0,0.1,
3-Feb-21,0,0.1,
2-Dec-20,0,0.1,
4-Nov-20,-0.15,0.1,
7-Oct-20,0,0.25,
2-Sep-20,0,0.25,
5-Aug-20,0,0.25,
8-Jul-20,0,0.25,
3-Jun-20,0,0.25,
6-May-20,0,0.25,
8-Apr-20,0,0.25,
20-Mar-20,-0.25,0.25,
4-Mar-20,-0.25,0.5,
5-Feb-20,0,0.75,
4-Dec-19,0,0.75,
6-Nov-19,0,0.75,
2-Oct-19,-0.25,0.75,
4-Sep-19,0,1,
7-Aug-19,0,1,
3-Jul-19,-0.25,1,
5-Jun-19,-0.25,1.25,
8-May-19,0,1.5,
3-Apr-19,0,1.5,
6-Mar-19,0,1.5,
6-Feb-19,0,1.5,
5-Dec-18,0,1.5,
7-Nov-18,0,1.5,
3-Oct-18,0,1.5,
5-Sep-18,0,1.5,
8-Aug-18,0,1.5,
4-Jul-18,0,1.5,
6-Jun-18,0,1.5,
2-May-18,0,1.5,
4-Apr-18,0,1.5,
7-Mar-18,0,1.5,
7-Feb-18,0,1.5,
6-Dec-17,0,1.5,
8-Nov-17,0,1.5,
4-Oct-17,0,1.5,
6-Sep-17,0,1.5,
2-Aug-17,0,1.5,
5-Jul-17,0,1.5,
7-Jun-17,0,1.5,
3-May-17,0,1.5,
5-Apr-17,0,1.5,
8-Mar-17,0,1.5,
8-Feb-17,0,1.5,
7-Dec-16,0,1.5,
2-Nov-16,0,1.5,
5-Oct-16,0,1.5,
7-Sep-16,0,1.5,
3-Aug-16,-0.25,1.5,
6-Jul-16,0,1.75,
8-Jun-16,0,1.75,
4-May-16,-0.25,1.75,
6-Apr-16,0,2,
2-Mar-16,0,2,
3-Feb-16,0,2,
2-Dec-15,0,2,
4-Nov-15,0,2,
7-Oct-15,0,2,
2-Sep-15,0,2,
5-Aug-15,0,2,
8-Jul-15,0,2,
3-Jun-15,0,2,
6-May-15,-0.25,2,
8-Apr-15,0,2.25,
4-Mar-15,0,2.25,
4-Feb-15,-0.25,2.25,
3-Dec-14,0,2.5,
5-Nov-14,0,2.5,
8-Oct-14,0,2.5,
3-Sep-14,0,2.5,
6-Aug-14,0,2.5,
2-Jul-14,0,2.5,
4-Jun-14,0,2.5,
7-May-14,0,2.5,
2-Apr-14,0,2.5,
5-Mar-14,0,2.5,
5-Feb-14,0,2.5,
4-Dec-13,0,2.5,
6-Nov-13,0,2.5,
2-Oct-13,0,2.5,
4-Sep-13,0,2.5,
7-Aug-13,-0.25,2.5,
3-Jul-13,0,2.75,
5-Jun-13,0,2.75,
8-May-13,-0.25,2.75,
3-Apr-13,0,3,
6-Mar-13,0,3,
6-Feb-13,0,3,
5-Dec-12,-0.25,3,
7-Nov-12,0,3.25,
3-Oct-12,-0.25,3.25,
5-Sep-12,0,3.5,
8-Aug-12,0,3.5,
4-Jul-12,0,3.5,
6-Jun-12,-0.25,3.5,
2-May-12,-0.5,3.75,
4-Apr-12,0,4.25,
7-Mar-12,0,4.25,
8-Feb-12,0,4.25,
7-Dec-11,-0.25,4.25,
2-Nov-11,-0.25,4.5,
5-Oct-11,0,4.75,
7-Sep-11,0,4.75,
3-Aug-11,0,4.75,
6-Jul-11,0,4.75,
8-Jun-11,0,4.75,
4-May-11,0,4.75,
6-Apr-11,0,4.75,
2-Mar-11,0,4.75,
2-Feb-11,0,4.75,
8-Dec-10,0,4.75,
3-Nov-10,0.25,4.75,
6-Oct-10,0,4.5,
8-Sep-10,0,4.5,
4-Aug-10,0,4.5,
7-Jul-10,0,4.5,
2-Jun-10,0,4.5,
5-May-10,0.25,4.5,
7-Apr-10,0.25,4.25,
3-Mar-10,0.25,4,
3-Feb-10,0,3.75,
2-Dec-09,0.25,3.75,
4-Nov-09,0.25,3.5,
7-Oct-09,0.25,3.25,
2-Sep-09,0,3,
5-Aug-09,0,3,
8-Jul-09,0,3,
3-Jun-09,0,3,
6-May-09,0,3,
8-Apr-09,-0.25,3,
4-Mar-09,0,3.25,
4-Feb-09,-1,3.25,
3-Dec-08,-1,4.25,
5-Nov-08,-0.75,5.25,
8-Oct-08,-1,6,
3-Sep-08,-0.25,7,
6-Aug-08,0,7.25,
2-Jul-08,0,7.25,
4-Jun-08,0,7.25,
7-May-08,0,7.25,
2-Apr-08,0,7.25,
5-Mar-08,0.25,7.25,
6-Feb-08,0.25,7,
5-Dec-07,0,6.75,
7-Nov-07,0.25,6.75,
3-Oct-07,0,6.5,
5-Sep-07,0,6.5,
8-Aug-07,0.25,6.5,
4-Jul-07,0,6.25,
6-Jun-07,0,6.25,
2-May-07,0,6.25,
4-Apr-07,0,6.25,
7-Mar-07,0,6.25,
7-Feb-07,0,6.25,
6-Dec-06,0,6.25,
8-Nov-06,0.25,6.25,
4-Oct-06,0,6,
6-Sep-06,0,6,
2-Aug-06,0.25,6,
5-Jul-06,0,5.75,
7-Jun-06,0,5.75,
3-May-06,0.25,5.75,
5-Apr-06,0,5.5,
8-Mar-06,0,5.5,
8-Feb-06,0,5.5,
7-Dec-05,0,5.5,
2-Nov-05,0,5.5,
5-Oct-05,0,5.5,
7-Sep-05,0,5.5,
3-Aug-05,0,5.5,
6-Jul-05,0,5.5,
8-Jun-05,0,5.5,
4-May-05,0,5.5,
6-Apr-05,0,5.5,
2-Mar-05,0.25,5.5,
2-Feb-05,0,5.25,
8-Dec-04,0,5.25,
3-Nov-04,0,5.25,
6-Oct-04,0,5.25,
8-Sep-04,0,5.25,
4-Aug-04,0,5.25,
7-Jul-04,0,5.25,
2-Jun-04,0,5.25,
5-May-04,0,5.25,
7-Apr-04,0,5.25,
3-Mar-04,0,5.25,
4-Feb-04,0,5.25,
3-Dec-03,0.25,5.25,
5-Nov-03,0.25,5,
8-Oct-03,0,4.75,
3-Sep-03,0,4.75,
6-Aug-03,0,4.75,
2-Jul-03,0,4.75,
4-Jun-03,0,4.75,
7-May-03,0,4.75,
2-Apr-03,0,4.75,
5-Mar-03,0,4.75,
5-Feb-03,0,4.75,
4-Dec-02,0,4.75,
6-Nov-02,0,4.75,
2-Oct-02,0,4.75,
4-Sep-02,0,4.75,
7-Aug-02,0,4.75,
3-Jul-02,0,4.75,
5-Jun-02,0.25,4.75,
8-May-02,0.25,4.5,
3-Apr-02,0,4.25,
6-Mar-02,0,4.25,
6-Feb-02,0,4.25,
5-Dec-01,-0.25,4.25,
7-Nov-01,0,4.5,
3-Oct-01,-0.25,4.5,
5-Sep-01,-0.25,4.75,
8-Aug-01,0,5,
4-Jul-01,0,5,
6-Jun-01,0,5,
2-May-01,0,5,
4-Apr-01,-0.5,5,
7-Mar-01,-0.25,5.5,
7-Feb-01,-0.5,5.75,
6-Dec-00,0,6.25,
8-Nov-00,0,6.25,
4-Oct-00,0,6.25,
6-Sep-00,0,6.25,
2-Aug-00,0.25,6.25,
5-Jul-00,0,6,
7-Jun-00,0,6,
3-May-00,0.25,6,
5-Apr-00,0.25,5.75,
8-Mar-00,0,5.5,
2-Feb-00,0.5,5.5,
8-Dec-99,0,5,
3-Nov-99,0.25,5,
6-Oct-99,0,4.75,
8-Sep-99,0,4.75,
4-Aug-99,0,4.75,
7-Jul-99,0,4.75,
2-Jun-99,0,4.75,
5-May-99,0,4.75,
7-Apr-99,0,4.75,
3-Mar-99,0,4.75,
3-Feb-99,0,4.75,
2-Dec-98,-0.25,4.75,
4-Nov-98,0,5,
7-Oct-98,0,5,
2-Sep-98,0,5,
5-Aug-98,0,5,
8-Jul-98,0,5,
3-Jun-98,0,5,
6-May-98,0,5,
8-Apr-98,0,5,
4-Mar-98,0,5,
4-Feb-98,0,5,
3-Dec-97,0,5,
5-Nov-97,0,5,
8-Oct-97,0,5,
3-Sep-97,0,5,
6-Aug-97,0,5,
30-Jul-97,-0.5,5,
2-Jul-97,0,5.5,
4-Jun-97,0,5.5,
23-May-97,-0.5,5.5,
7-May-97,0,6,
2-Apr-97,0,6,
5-Mar-97,0,6,
5-Feb-97,0,6,
11-Dec-96,-0.5,6,
6-Nov-96,-0.5,6.5,
2-Oct-96,0,7,
4-Sep-96,0,7,
31-Jul-96,-0.5,7,
3-Jul-96,0,7.5,
5-Jun-96,0,7.5,
8-May-96,0,7.5,
3-Apr-96,0,7.5,
6-Mar-96,0,7.5,
7-Feb-96,0,7.5,
6-Dec-95,0,7.5,
8-Nov-95,0,7.5,
4-Oct-95,0,7.5,
6-Sep-95,0,7.5,
26-Jul-95,0,7.5,
5-Jul-95,0,7.5,
7-Jun-95,0,7.5,
3-May-95,0,7.5,
5-Apr-95,0,7.5,
8-Mar-95,0,7.5,
8-Feb-95,0,7.5,
14-Dec-94,1,7.5,
2-Nov-94,0,6.5,
24-Oct-94,1,6.5,
7-Sep-94,0,5.5,
17-Aug-94,0.75,5.5,
27-Jul-94,0,4.75,
6-Jul-94,0,4.75,
8-Jun-94,0,4.75,
4-May-94,0,4.75,
30-Mar-94,0,4.75,
2-Mar-94,0,4.75,
2-Feb-94,0,4.75,
8-Dec-93,0,4.75,
3-Nov-93,0,4.75,
6-Oct-93,0,4.75,
8-Sep-93,0,4.75,
30-Jul-93,-0.5,4.75,
7-Jul-93,0,5.25,
2-Jun-93,0,5.25,
5-May-93,0,5.25,
7-Apr-93,0,5.25,
23-Mar-93,-0.5,5.25,
3-Feb-93,0,5.75,
2-Dec-92,0,5.75,
4-Nov-92,0,5.75,
7-Oct-92,0,5.75,
2-Sep-92,0,5.75,
29-Jul-92,0,5.75,
8-Jul-92,-0.75,5.75,
3-Jun-92,0,6.5,
6-May-92,-1,6.5,
